Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
The Shawshank Redemption,Sueño de fuga,1994,9.3,142,B,Drama,"El banquero Andy Dufresne es arrestado por matar a su esposa y amante. Tras una dura adaptación, intenta mejorar las condiciones de la prisión y dar esperanza a sus compañeros.",https://www.imdb.com/title/tt0111161/,Max
The Godfather,El padrino,1972,9.2,175,C,"Crimen, Drama",El patriarca de una organización criminal transfiere el control de su clandestino imperio a su reacio hijo.,https://www.imdb.com/title/tt0068646/,"Netflix, Paramount Plus"
The Dark Knight,Batman: El caballero de la noche,2008,9.0,152,B,"Acción, Crimen, Drama","Cuando el Joker emerge causando caos y violencia en Gotham, el caballero de la noches deberá aceptar una de las pruebas psicológicas y físicas más difíciles para poder luchar con las injusticias del enemigo.",https://www.imdb.com/title/tt0468569/,"Amazon Prime Video, Max"
The Godfather Part II,El padrino (parte II),1974,9.0,202,C,"Crimen, Drama","Relato de la vida temprana y la carrera de Vito Corleone en la ciudad de Nueva York en 1920, mientras que su hijo, Michael, se expande y refuerza su control sobre el sindicato de delitos familiares.",https://www.imdb.com/title/tt0071562/,"Paramount Plus, Claro video"
12 Angry Men,12 hombres en pugna,1957,9.0,96,B,"Crimen, Drama",Un jurado que se retira intenta evitar un error judicial al obligar a sus colegas a reconsiderar la evidencia.,https://www.imdb.com/title/tt0050083/,Ninguna Plataforma
The Lord of the Rings: The Return of the King,El señor de los anillos: El retorno del rey,2003,9.0,201,B,"Aventura, Drama, Fantasía","Gandalf y Aragorn lideran el Mundo de los hombres, e intentarán atraer la atención de Sauron para darle a Frodo la última oportunidad de completar su misión y así tratar de evitar sucumbir a las continuas tentaciones del Anillo.",https://www.imdb.com/title/tt0167260/,"Amazon Prime Video, Max"
Schindler's List,La Lista de Schindler,1993,9.0,195,B15,"Biografía, Drama, Historia","Después de presenciar la persecución judía por parte de los nazis en la Polonia ocupada por los alemanes, el empresario Oskar Schindler se preocupa por su fuerza laboral judía.",https://www.imdb.com/title/tt0108052/,Ninguna Plataforma
Pulp Fiction,Tiempos violentos,1994,8.9,154,C,"Crimen, Drama","Las vidas de dos mafiosos, un boxeador, la esposa de un gánster y un par de bandidos se entrelazan en cuatro historias de violencia y redención.",https://www.imdb.com/title/tt0110912/,Netflix
The Lord of the Rings: The Fellowship of the Ring,El señor de los anillos: La comunidad del anillo,2001,8.9,178,B,"Aventura, Drama, Fantasía",Un Hobbit y ocho compañeros emprendieron un viaje para destruir el poderoso Anillo Único y salvar a la Tierra del Señor Oscuro Sauron.,https://www.imdb.com/title/tt0120737/,"Amazon Prime Video, Max"
"Il buono, il brutto, il cattivo","El bueno, el malo y el feo",1966,8.8,161,C,"Aventura, Oeste",Un estafador de caza recompensas se une a dos hombres en una incómoda alianza en una carrera para encontrar una fortuna en oro enterrada en un cementerio remoto.,https://www.imdb.com/title/tt0060196/,Amazon Prime Video
Forrest Gump,Forrest Gump,1994,8.8,142,13,"Drama, Romance","Las presidencias de Kennedy y Johnson, los eventos de Vietnam, Watergate vistas desde la perspectiva de un hombre de Alabama con un coeficiente intelectual de 75.",https://www.imdb.com/title/tt0109830/,Ninguna Plataforma
The Lord of the Rings: The Two Towers,El señor de los anillos: Las dos torres,2002,8.8,179,B,"Aventura, Drama, Fantasía","Mientras Frodo y Sam se acercan más a Mordor con la ayuda del cambiante Gollum, la comunidad dividida se opone al nuevo aliado de Sauron, Saruman, y sus hordas de Isengard.",https://www.imdb.com/title/tt0167261/,"Amazon Prime Video, Max"
Fight Club,El club de la pelea,1999,8.8,139,C,Drama,"Un hombre deprimido conoce a un fabricante de jabones, y juntos forman un club de pelea clandestino que evoluciona en algo inesperado.",https://www.imdb.com/title/tt0137523/,Disney Plus
